Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7)
     0,  2.2015e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     1,  2.2016e+00,  1.3445606740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     2,  2.2016e+00,  1.3445596740217239e-01, -7.6118636490874206e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     3,  2.2016e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635018173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     4,  2.2017e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763346904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     5,  2.2017e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287373372805270e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     6,  2.2017e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160068130665201e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     7,  2.2017e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696349315621439e-01, -1.8274196258231300e-02
     8,  2.2017e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274096258231301e-02
     9,  5.0946e+00,  8.2203462824714885e-02,  3.8478876590433933e-02,  1.9708271274333530e-01, -3.2070038481630606e-02,  7.9674809154830342e-02, -5.1392783790035479e-02,  2.5738089209022241e-01, -4.9019822294751159e-02
    10,  5.0946e+00,  8.2203562824714888e-02,  3.8478876590433933e-02,  1.9708271274333530e-01, -3.2070038481630606e-02,  7.9674809154830342e-02, -5.1392783790035479e-02,  2.5738089209022241e-01, -4.9019822294751159e-02
    11,  5.0947e+00,  8.2203462824714885e-02,  3.8478976590433936e-02,  1.9708271274333530e-01, -3.2070038481630606e-02,  7.9674809154830342e-02, -5.1392783790035479e-02,  2.5738089209022241e-01, -4.9019822294751159e-02
    12,  5.0947e+00,  8.2203462824714885e-02,  3.8478876590433933e-02,  1.9708281274333531e-01, -3.2070038481630606e-02,  7.9674809154830342e-02, -5.1392783790035479e-02,  2.5738089209022241e-01, -4.9019822294751159e-02
    13,  5.0947e+00,  8.2203462824714885e-02,  3.8478876590433933e-02,  1.9708271274333530e-01, -3.2069938481630603e-02,  7.9674809154830342e-02, -5.1392783790035479e-02,  2.5738089209022241e-01, -4.9019822294751159e-02
    14,  5.0947e+00,  8.2203462824714885e-02,  3.8478876590433933e-02,  1.9708271274333530e-01, -3.2070038481630606e-02,  7.9674909154830345e-02, -5.1392783790035479e-02,  2.5738089209022241e-01, -4.9019822294751159e-02
    15,  5.0947e+00,  8.2203462824714885e-02,  3.8478876590433933e-02,  1.9708271274333530e-01, -3.2070038481630606e-02,  7.9674809154830342e-02, -5.1392683790035476e-02,  2.5738089209022241e-01, -4.9019822294751159e-02
    16,  5.0947e+00,  8.2203462824714885e-02,  3.8478876590433933e-02,  1.9708271274333530e-01, -3.2070038481630606e-02,  7.9674809154830342e-02, -5.1392783790035479e-02,  2.5738099209022242e-01, -4.9019822294751159e-02
    17,  5.0947e+00,  8.2203462824714885e-02,  3.8478876590433933e-02,  1.9708271274333530e-01, -3.2070038481630606e-02,  7.9674809154830342e-02, -5.1392783790035479e-02,  2.5738089209022241e-01, -4.9019722294751156e-02
    18,  1.0443e+01, -2.5520009925416010e-01,  6.4664281742739652e-02,  2.2287121184823272e-01,  8.1920374020554312e-02, -1.8913762593940969e-01,  6.4301214901505935e-02,  4.0431704596688334e-01, -4.2668119915344888e-04
    19,  1.0443e+01, -2.5519999925416009e-01,  6.4664281742739652e-02,  2.2287121184823272e-01,  8.1920374020554312e-02, -1.8913762593940969e-01,  6.4301214901505935e-02,  4.0431704596688334e-01, -4.2668119915344888e-04
    20,  1.0443e+01, -2.5520009925416010e-01,  6.4664381742739654e-02,  2.2287121184823272e-01,  8.1920374020554312e-02, -1.8913762593940969e-01,  6.4301214901505935e-02,  4.0431704596688334e-01, -4.2668119915344888e-04
    21,  1.0443e+01, -2.5520009925416010e-01,  6.4664281742739652e-02,  2.2287131184823272e-01,  8.1920374020554312e-02, -1.8913762593940969e-01,  6.4301214901505935e-02,  4.0431704596688334e-01, -4.2668119915344888e-04
    22,  1.0443e+01, -2.5520009925416010e-01,  6.4664281742739652e-02,  2.2287121184823272e-01,  8.1920474020554315e-02, -1.8913762593940969e-01,  6.4301214901505935e-02,  4.0431704596688334e-01, -4.2668119915344888e-04
    23,  1.0443e+01, -2.5520009925416010e-01,  6.4664281742739652e-02,  2.2287121184823272e-01,  8.1920374020554312e-02, -1.8913752593940969e-01,  6.4301214901505935e-02,  4.0431704596688334e-01, -4.2668119915344888e-04
    24,  1.0443e+01, -2.5520009925416010e-01,  6.4664281742739652e-02,  2.2287121184823272e-01,  8.1920374020554312e-02, -1.8913762593940969e-01,  6.4301314901505938e-02,  4.0431704596688334e-01, -4.2668119915344888e-04
    25,  1.0443e+01, -2.5520009925416010e-01,  6.4664281742739652e-02,  2.2287121184823272e-01,  8.1920374020554312e-02, -1.8913762593940969e-01,  6.4301214901505935e-02,  4.0431714596688334e-01, -4.2668119915344888e-04
    26,  1.0443e+01, -2.5520009925416010e-01,  6.4664281742739652e-02,  2.2287121184823272e-01,  8.1920374020554312e-02, -1.8913762593940969e-01,  6.4301214901505935e-02,  4.0431704596688334e-01, -4.2658119915344887e-04
    27,  1.3299e+01,  1.4476225256754086e-02,  4.3735090083369524e-02,  2.0225925502592754e-01, -9.1886684675210328e-03,  2.5715913342717875e-02, -2.8169451806546720e-02,  2.8687548230619847e-01, -3.9265689318568685e-02
    28,  1.3299e+01,  1.4476325256754085e-02,  4.3735090083369524e-02,  2.0225925502592754e-01, -9.1886684675210328e-03,  2.5715913342717875e-02, -2.8169451806546720e-02,  2.8687548230619847e-01, -3.9265689318568685e-02
    29,  1.3299e+01,  1.4476225256754086e-02,  4.3735190083369527e-02,  2.0225925502592754e-01, -9.1886684675210328e-03,  2.5715913342717875e-02, -2.8169451806546720e-02,  2.8687548230619847e-01, -3.9265689318568685e-02
    30,  1.3299e+01,  1.4476225256754086e-02,  4.3735090083369524e-02,  2.0225935502592754e-01, -9.1886684675210328e-03,  2.5715913342717875e-02, -2.8169451806546720e-02,  2.8687548230619847e-01, -3.9265689318568685e-02
    31,  1.3299e+01,  1.4476225256754086e-02,  4.3735090083369524e-02,  2.0225925502592754e-01, -9.1885684675210334e-03,  2.5715913342717875e-02, -2.8169451806546720e-02,  2.8687548230619847e-01, -3.9265689318568685e-02
    32,  1.3299e+01,  1.4476225256754086e-02,  4.3735090083369524e-02,  2.0225925502592754e-01, -9.1886684675210328e-03,  2.5716013342717874e-02, -2.8169451806546720e-02,  2.8687548230619847e-01, -3.9265689318568685e-02
    33,  1.3299e+01,  1.4476225256754086e-02,  4.3735090083369524e-02,  2.0225925502592754e-01, -9.1886684675210328e-03,  2.5715913342717875e-02, -2.8169351806546720e-02,  2.8687548230619847e-01, -3.9265689318568685e-02
    34,  1.3299e+01,  1.4476225256754086e-02,  4.3735090083369524e-02,  2.0225925502592754e-01, -9.1886684675210328e-03,  2.5715913342717875e-02, -2.8169451806546720e-02,  2.8687558230619847e-01, -3.9265689318568685e-02
    35,  1.3299e+01,  1.4476225256754086e-02,  4.3735090083369524e-02,  2.0225925502592754e-01, -9.1886684675210328e-03,  2.5715913342717875e-02, -2.8169451806546720e-02,  2.8687548230619847e-01, -3.9265589318568682e-02
