Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7)
     0,  2.0427e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     1,  2.0428e+00,  1.3445606740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     2,  2.0428e+00,  1.3445596740217239e-01, -7.6118636490874206e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     3,  2.0428e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635018173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     4,  2.0428e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763346904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     5,  2.0428e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287373372805270e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     6,  2.0428e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160068130665201e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     7,  2.0428e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696349315621439e-01, -1.8274196258231300e-02
     8,  2.0428e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274096258231301e-02
     9,  4.0315e+00,  1.2998407027371919e-01, -6.9235138619320985e-02,  1.6637010957198567e-01, -2.9390062361656210e-03,  1.3373232015358211e-01,  1.0966396313626492e-01,  1.6137532580300754e-01, -1.0025016432469478e-02
    10,  4.0315e+00,  1.2998417027371920e-01, -6.9235138619320985e-02,  1.6637010957198567e-01, -2.9390062361656210e-03,  1.3373232015358211e-01,  1.0966396313626492e-01,  1.6137532580300754e-01, -1.0025016432469478e-02
    11,  4.0315e+00,  1.2998407027371919e-01, -6.9235038619320982e-02,  1.6637010957198567e-01, -2.9390062361656210e-03,  1.3373232015358211e-01,  1.0966396313626492e-01,  1.6137532580300754e-01, -1.0025016432469478e-02
    12,  4.0315e+00,  1.2998407027371919e-01, -6.9235138619320985e-02,  1.6637020957198567e-01, -2.9390062361656210e-03,  1.3373232015358211e-01,  1.0966396313626492e-01,  1.6137532580300754e-01, -1.0025016432469478e-02
