Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7)
     0,  2.0899e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     1,  2.0900e+00,  1.3445606740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     2,  2.0900e+00,  1.3445596740217239e-01, -7.6118636490874206e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     3,  2.0901e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635018173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     4,  2.0901e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763346904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     5,  2.0901e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287373372805270e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     6,  2.0901e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160068130665201e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     7,  2.0901e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696349315621439e-01, -1.8274196258231300e-02
     8,  2.0901e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274096258231301e-02
     9,  4.5476e+00,  8.6829412297926109e-02, -5.1592168642640240e-02,  1.4027986814988763e-01, -1.5024939284713559e-03,  9.4110286813610305e-02,  6.7714210379540327e-02,  1.4457516640485213e-01, -7.1436565943545482e-03
    10,  4.5476e+00,  8.6829512297926112e-02, -5.1592168642640240e-02,  1.4027986814988763e-01, -1.5024939284713559e-03,  9.4110286813610305e-02,  6.7714210379540327e-02,  1.4457516640485213e-01, -7.1436565943545482e-03
    11,  4.5477e+00,  8.6829412297926109e-02, -5.1592068642640238e-02,  1.4027986814988763e-01, -1.5024939284713559e-03,  9.4110286813610305e-02,  6.7714210379540327e-02,  1.4457516640485213e-01, -7.1436565943545482e-03
    12,  4.5477e+00,  8.6829412297926109e-02, -5.1592168642640240e-02,  1.4027996814988763e-01, -1.5024939284713559e-03,  9.4110286813610305e-02,  6.7714210379540327e-02,  1.4457516640485213e-01, -7.1436565943545482e-03
    13,  4.5477e+00,  8.6829412297926109e-02, -5.1592168642640240e-02,  1.4027986814988763e-01, -1.5023939284713559e-03,  9.4110286813610305e-02,  6.7714210379540327e-02,  1.4457516640485213e-01, -7.1436565943545482e-03
    14,  4.5477e+00,  8.6829412297926109e-02, -5.1592168642640240e-02,  1.4027986814988763e-01, -1.5024939284713559e-03,  9.4110386813610308e-02,  6.7714210379540327e-02,  1.4457516640485213e-01, -7.1436565943545482e-03
    15,  4.5477e+00,  8.6829412297926109e-02, -5.1592168642640240e-02,  1.4027986814988763e-01, -1.5024939284713559e-03,  9.4110286813610305e-02,  6.7714310379540329e-02,  1.4457516640485213e-01, -7.1436565943545482e-03
    16,  4.5477e+00,  8.6829412297926109e-02, -5.1592168642640240e-02,  1.4027986814988763e-01, -1.5024939284713559e-03,  9.4110286813610305e-02,  6.7714210379540327e-02,  1.4457526640485213e-01, -7.1436565943545482e-03
    17,  4.5477e+00,  8.6829412297926109e-02, -5.1592168642640240e-02,  1.4027986814988763e-01, -1.5024939284713559e-03,  9.4110286813610305e-02,  6.7714210379540327e-02,  1.4457516640485213e-01, -7.1435565943545479e-03
    18,  6.5706e+00,  8.6021537073056958e-02, -5.0317301188157658e-02,  1.4012671008480063e-01, -5.2174219828332244e-03,  9.0792976055603158e-02,  6.5394706351444051e-02,  1.4719305571011490e-01, -9.7332349797212073e-03
    19,  6.5707e+00,  8.6021637073056961e-02, -5.0317301188157658e-02,  1.4012671008480063e-01, -5.2174219828332244e-03,  9.0792976055603158e-02,  6.5394706351444051e-02,  1.4719305571011490e-01, -9.7332349797212073e-03
    20,  6.5707e+00,  8.6021537073056958e-02, -5.0317201188157655e-02,  1.4012671008480063e-01, -5.2174219828332244e-03,  9.0792976055603158e-02,  6.5394706351444051e-02,  1.4719305571011490e-01, -9.7332349797212073e-03
    21,  6.5707e+00,  8.6021537073056958e-02, -5.0317301188157658e-02,  1.4012681008480063e-01, -5.2174219828332244e-03,  9.0792976055603158e-02,  6.5394706351444051e-02,  1.4719305571011490e-01, -9.7332349797212073e-03
    22,  6.5707e+00,  8.6021537073056958e-02, -5.0317301188157658e-02,  1.4012671008480063e-01, -5.2173219828332241e-03,  9.0792976055603158e-02,  6.5394706351444051e-02,  1.4719305571011490e-01, -9.7332349797212073e-03
    23,  6.5707e+00,  8.6021537073056958e-02, -5.0317301188157658e-02,  1.4012671008480063e-01, -5.2174219828332244e-03,  9.0793076055603161e-02,  6.5394706351444051e-02,  1.4719305571011490e-01, -9.7332349797212073e-03
    24,  6.5707e+00,  8.6021537073056958e-02, -5.0317301188157658e-02,  1.4012671008480063e-01, -5.2174219828332244e-03,  9.0792976055603158e-02,  6.5394806351444054e-02,  1.4719305571011490e-01, -9.7332349797212073e-03
    25,  6.5707e+00,  8.6021537073056958e-02, -5.0317301188157658e-02,  1.4012671008480063e-01, -5.2174219828332244e-03,  9.0792976055603158e-02,  6.5394706351444051e-02,  1.4719315571011490e-01, -9.7332349797212073e-03
    26,  6.5708e+00,  8.6021537073056958e-02, -5.0317301188157658e-02,  1.4012671008480063e-01, -5.2174219828332244e-03,  9.0792976055603158e-02,  6.5394706351444051e-02,  1.4719305571011490e-01, -9.7331349797212079e-03
    27,  8.6186e+00,  8.3515287714704248e-02, -4.0768882723172313e-02,  1.4469823764418974e-01, -9.2812921174900281e-03,  8.3029397230238638e-02,  6.5925856892172091e-02,  1.5412402239732884e-01, -1.2695964460225065e-02
    28,  8.6187e+00,  8.3515387714704251e-02, -4.0768882723172313e-02,  1.4469823764418974e-01, -9.2812921174900281e-03,  8.3029397230238638e-02,  6.5925856892172091e-02,  1.5412402239732884e-01, -1.2695964460225065e-02
    29,  8.6187e+00,  8.3515287714704248e-02, -4.0768782723172310e-02,  1.4469823764418974e-01, -9.2812921174900281e-03,  8.3029397230238638e-02,  6.5925856892172091e-02,  1.5412402239732884e-01, -1.2695964460225065e-02
    30,  8.6187e+00,  8.3515287714704248e-02, -4.0768882723172313e-02,  1.4469833764418974e-01, -9.2812921174900281e-03,  8.3029397230238638e-02,  6.5925856892172091e-02,  1.5412402239732884e-01, -1.2695964460225065e-02
    31,  8.6187e+00,  8.3515287714704248e-02, -4.0768882723172313e-02,  1.4469823764418974e-01, -9.2811921174900287e-03,  8.3029397230238638e-02,  6.5925856892172091e-02,  1.5412402239732884e-01, -1.2695964460225065e-02
    32,  8.6188e+00,  8.3515287714704248e-02, -4.0768882723172313e-02,  1.4469823764418974e-01, -9.2812921174900281e-03,  8.3029497230238641e-02,  6.5925856892172091e-02,  1.5412402239732884e-01, -1.2695964460225065e-02
    33,  8.6188e+00,  8.3515287714704248e-02, -4.0768882723172313e-02,  1.4469823764418974e-01, -9.2812921174900281e-03,  8.3029397230238638e-02,  6.5925956892172094e-02,  1.5412402239732884e-01, -1.2695964460225065e-02
    34,  8.6188e+00,  8.3515287714704248e-02, -4.0768882723172313e-02,  1.4469823764418974e-01, -9.2812921174900281e-03,  8.3029397230238638e-02,  6.5925856892172091e-02,  1.5412412239732884e-01, -1.2695964460225065e-02
    35,  8.6188e+00,  8.3515287714704248e-02, -4.0768882723172313e-02,  1.4469823764418974e-01, -9.2812921174900281e-03,  8.3029397230238638e-02,  6.5925856892172091e-02,  1.5412402239732884e-01, -1.2695864460225066e-02
    36,  1.1032e+01,  7.3490290281293405e-02, -2.5752088632309406e-03,  1.6298434788174621e-01, -2.5536772656117240e-02,  5.1975081928780566e-02,  6.8050459055084278e-02,  1.8184788914618458e-01, -2.4546882382240495e-02
    37,  1.1032e+01,  7.3490390281293408e-02, -2.5752088632309406e-03,  1.6298434788174621e-01, -2.5536772656117240e-02,  5.1975081928780566e-02,  6.8050459055084278e-02,  1.8184788914618458e-01, -2.4546882382240495e-02
    38,  1.1032e+01,  7.3490290281293405e-02, -2.5751088632309407e-03,  1.6298434788174621e-01, -2.5536772656117240e-02,  5.1975081928780566e-02,  6.8050459055084278e-02,  1.8184788914618458e-01, -2.4546882382240495e-02
    39,  1.1032e+01,  7.3490290281293405e-02, -2.5752088632309406e-03,  1.6298444788174621e-01, -2.5536772656117240e-02,  5.1975081928780566e-02,  6.8050459055084278e-02,  1.8184788914618458e-01, -2.4546882382240495e-02
    40,  1.1032e+01,  7.3490290281293405e-02, -2.5752088632309406e-03,  1.6298434788174621e-01, -2.5536672656117240e-02,  5.1975081928780566e-02,  6.8050459055084278e-02,  1.8184788914618458e-01, -2.4546882382240495e-02
    41,  1.1032e+01,  7.3490290281293405e-02, -2.5752088632309406e-03,  1.6298434788174621e-01, -2.5536772656117240e-02,  5.1975181928780569e-02,  6.8050459055084278e-02,  1.8184788914618458e-01, -2.4546882382240495e-02
    42,  1.1032e+01,  7.3490290281293405e-02, -2.5752088632309406e-03,  1.6298434788174621e-01, -2.5536772656117240e-02,  5.1975081928780566e-02,  6.8050559055084281e-02,  1.8184788914618458e-01, -2.4546882382240495e-02
    43,  1.1032e+01,  7.3490290281293405e-02, -2.5752088632309406e-03,  1.6298434788174621e-01, -2.5536772656117240e-02,  5.1975081928780566e-02,  6.8050459055084278e-02,  1.8184798914618458e-01, -2.4546882382240495e-02
    44,  1.1032e+01,  7.3490290281293405e-02, -2.5752088632309406e-03,  1.6298434788174621e-01, -2.5536772656117240e-02,  5.1975081928780566e-02,  6.8050459055084278e-02,  1.8184788914618458e-01, -2.4546782382240496e-02
    45,  1.4293e+01,  3.4375420938932415e-02,  8.6059756570495971e-02,  2.1675024109156979e-01, -6.0619576680604761e-02, -1.5866370058072184e-02,  6.8662876329773900e-02,  2.5596916954315430e-01, -6.0437979484622900e-02
    46,  1.4293e+01,  3.4375520938932418e-02,  8.6059756570495971e-02,  2.1675024109156979e-01, -6.0619576680604761e-02, -1.5866370058072184e-02,  6.8662876329773900e-02,  2.5596916954315430e-01, -6.0437979484622900e-02
    47,  1.4293e+01,  3.4375420938932415e-02,  8.6059856570495974e-02,  2.1675024109156979e-01, -6.0619576680604761e-02, -1.5866370058072184e-02,  6.8662876329773900e-02,  2.5596916954315430e-01, -6.0437979484622900e-02
    48,  1.4293e+01,  3.4375420938932415e-02,  8.6059756570495971e-02,  2.1675034109156979e-01, -6.0619576680604761e-02, -1.5866370058072184e-02,  6.8662876329773900e-02,  2.5596916954315430e-01, -6.0437979484622900e-02
    49,  1.4293e+01,  3.4375420938932415e-02,  8.6059756570495971e-02,  2.1675024109156979e-01, -6.0619476680604759e-02, -1.5866370058072184e-02,  6.8662876329773900e-02,  2.5596916954315430e-01, -6.0437979484622900e-02
    50,  1.4294e+01,  3.4375420938932415e-02,  8.6059756570495971e-02,  2.1675024109156979e-01, -6.0619576680604761e-02, -1.5866270058072184e-02,  6.8662876329773900e-02,  2.5596916954315430e-01, -6.0437979484622900e-02
    51,  1.4294e+01,  3.4375420938932415e-02,  8.6059756570495971e-02,  2.1675024109156979e-01, -6.0619576680604761e-02, -1.5866370058072184e-02,  6.8662976329773903e-02,  2.5596916954315430e-01, -6.0437979484622900e-02
    52,  1.4294e+01,  3.4375420938932415e-02,  8.6059756570495971e-02,  2.1675024109156979e-01, -6.0619576680604761e-02, -1.5866370058072184e-02,  6.8662876329773900e-02,  2.5596926954315430e-01, -6.0437979484622900e-02
    53,  1.4294e+01,  3.4375420938932415e-02,  8.6059756570495971e-02,  2.1675024109156979e-01, -6.0619576680604761e-02, -1.5866370058072184e-02,  6.8662876329773900e-02,  2.5596916954315430e-01, -6.0437879484622897e-02
    54,  1.6931e+01,  1.7842593532301054e-02,  9.5916382348220419e-02,  2.6752789508140590e-01, -9.8215604626436512e-02, -8.9882561167645370e-02,  6.5053374466839217e-02,  2.9801039998795814e-01, -1.2914936310818359e-02
    55,  1.6931e+01,  1.7842693532301054e-02,  9.5916382348220419e-02,  2.6752789508140590e-01, -9.8215604626436512e-02, -8.9882561167645370e-02,  6.5053374466839217e-02,  2.9801039998795814e-01, -1.2914936310818359e-02
