Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7)
     0,  1.9707e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     1,  1.9707e+00,  1.3445606740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     2,  1.9708e+00,  1.3445596740217239e-01, -7.6118636490874206e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     3,  1.9708e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635018173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     4,  1.9708e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763346904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     5,  1.9708e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287373372805270e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     6,  1.9708e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160068130665201e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     7,  1.9708e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696349315621439e-01, -1.8274196258231300e-02
     8,  1.9708e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274096258231301e-02
     9,  4.5578e+00,  8.2203462824714885e-02,  3.8478876590433933e-02,  1.9708271274333528e-01, -3.2070038481630606e-02,  7.9674809154830342e-02, -5.1392783790035479e-02,  2.5738089209022241e-01, -4.9019822294751159e-02
    10,  4.5578e+00,  8.2203562824714888e-02,  3.8478876590433933e-02,  1.9708271274333528e-01, -3.2070038481630606e-02,  7.9674809154830342e-02, -5.1392783790035479e-02,  2.5738089209022241e-01, -4.9019822294751159e-02
    11,  4.5578e+00,  8.2203462824714885e-02,  3.8478976590433936e-02,  1.9708271274333528e-01, -3.2070038481630606e-02,  7.9674809154830342e-02, -5.1392783790035479e-02,  2.5738089209022241e-01, -4.9019822294751159e-02
    12,  4.5578e+00,  8.2203462824714885e-02,  3.8478876590433933e-02,  1.9708281274333528e-01, -3.2070038481630606e-02,  7.9674809154830342e-02, -5.1392783790035479e-02,  2.5738089209022241e-01, -4.9019822294751159e-02
    13,  4.5579e+00,  8.2203462824714885e-02,  3.8478876590433933e-02,  1.9708271274333528e-01, -3.2069938481630603e-02,  7.9674809154830342e-02, -5.1392783790035479e-02,  2.5738089209022241e-01, -4.9019822294751159e-02
    14,  4.5579e+00,  8.2203462824714885e-02,  3.8478876590433933e-02,  1.9708271274333528e-01, -3.2070038481630606e-02,  7.9674909154830345e-02, -5.1392783790035479e-02,  2.5738089209022241e-01, -4.9019822294751159e-02
    15,  4.5579e+00,  8.2203462824714885e-02,  3.8478876590433933e-02,  1.9708271274333528e-01, -3.2070038481630606e-02,  7.9674809154830342e-02, -5.1392683790035476e-02,  2.5738089209022241e-01, -4.9019822294751159e-02
    16,  4.5579e+00,  8.2203462824714885e-02,  3.8478876590433933e-02,  1.9708271274333528e-01, -3.2070038481630606e-02,  7.9674809154830342e-02, -5.1392783790035479e-02,  2.5738099209022242e-01, -4.9019822294751159e-02
    17,  4.5579e+00,  8.2203462824714885e-02,  3.8478876590433933e-02,  1.9708271274333528e-01, -3.2070038481630606e-02,  7.9674809154830342e-02, -5.1392783790035479e-02,  2.5738089209022241e-01, -4.9019722294751156e-02
    18,  9.4196e+00, -2.5520011843752066e-01,  6.4664264326605631e-02,  2.2287121571627144e-01,  8.1920344041460896e-02, -1.8913764745681311e-01,  6.4301219575729790e-02,  4.0431703671079627e-01, -4.2670369398364882e-04
    19,  9.4197e+00, -2.5520001843752066e-01,  6.4664264326605631e-02,  2.2287121571627144e-01,  8.1920344041460896e-02, -1.8913764745681311e-01,  6.4301219575729790e-02,  4.0431703671079627e-01, -4.2670369398364882e-04
    20,  9.4197e+00, -2.5520011843752066e-01,  6.4664364326605633e-02,  2.2287121571627144e-01,  8.1920344041460896e-02, -1.8913764745681311e-01,  6.4301219575729790e-02,  4.0431703671079627e-01, -4.2670369398364882e-04
    21,  9.4197e+00, -2.5520011843752066e-01,  6.4664264326605631e-02,  2.2287131571627145e-01,  8.1920344041460896e-02, -1.8913764745681311e-01,  6.4301219575729790e-02,  4.0431703671079627e-01, -4.2670369398364882e-04
    22,  9.4197e+00, -2.5520011843752066e-01,  6.4664264326605631e-02,  2.2287121571627144e-01,  8.1920444041460899e-02, -1.8913764745681311e-01,  6.4301219575729790e-02,  4.0431703671079627e-01, -4.2670369398364882e-04
    23,  9.4197e+00, -2.5520011843752066e-01,  6.4664264326605631e-02,  2.2287121571627144e-01,  8.1920344041460896e-02, -1.8913754745681310e-01,  6.4301219575729790e-02,  4.0431703671079627e-01, -4.2670369398364882e-04
    24,  9.4197e+00, -2.5520011843752066e-01,  6.4664264326605631e-02,  2.2287121571627144e-01,  8.1920344041460896e-02, -1.8913764745681311e-01,  6.4301319575729793e-02,  4.0431703671079627e-01, -4.2670369398364882e-04
    25,  9.4198e+00, -2.5520011843752066e-01,  6.4664264326605631e-02,  2.2287121571627144e-01,  8.1920344041460896e-02, -1.8913764745681311e-01,  6.4301219575729790e-02,  4.0431713671079628e-01, -4.2670369398364882e-04
    26,  9.4198e+00, -2.5520011843752066e-01,  6.4664264326605631e-02,  2.2287121571627144e-01,  8.1920344041460896e-02, -1.8913764745681311e-01,  6.4301219575729790e-02,  4.0431703671079627e-01, -4.2660369398364882e-04
    27,  1.2029e+01,  1.4520053660569146e-02,  4.3731684831647112e-02,  2.0225590560607323e-01, -9.2034830282921760e-03,  2.5750830573452309e-02, -2.8184480729502456e-02,  2.8685639190605533e-01, -3.9272006588369004e-02
