Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7)
     0,  2.0144e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     1,  2.0145e+00,  1.3445606740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     2,  2.0145e+00,  1.3445596740217239e-01, -7.6118636490874206e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     3,  2.0145e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635018173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     4,  2.0145e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763346904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     5,  2.0146e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287373372805270e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     6,  2.0146e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160068130665201e-01,  1.6696339315621439e-01, -1.8274196258231300e-02
     7,  2.0146e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696349315621439e-01, -1.8274196258231300e-02
     8,  2.0146e+00,  1.3445596740217239e-01, -7.6118736490874209e-02,  1.6635008173503299e-01, -1.2763446904551980e-02,  1.3287363372805269e-01,  1.0160058130665200e-01,  1.6696339315621439e-01, -1.8274096258231301e-02
     9,  4.3926e+00,  8.6829412298011124e-02, -5.1592168642524097e-02,  1.4027986814998869e-01, -1.5024939283595998e-03,  9.4110286813574556e-02,  6.7714210380355105e-02,  1.4457516640567153e-01, -7.1436565935565216e-03
    10,  4.3927e+00,  8.6829512298011127e-02, -5.1592168642524097e-02,  1.4027986814998869e-01, -1.5024939283595998e-03,  9.4110286813574556e-02,  6.7714210380355105e-02,  1.4457516640567153e-01, -7.1436565935565216e-03
    11,  4.3927e+00,  8.6829412298011124e-02, -5.1592068642524094e-02,  1.4027986814998869e-01, -1.5024939283595998e-03,  9.4110286813574556e-02,  6.7714210380355105e-02,  1.4457516640567153e-01, -7.1436565935565216e-03
    12,  4.3927e+00,  8.6829412298011124e-02, -5.1592168642524097e-02,  1.4027996814998869e-01, -1.5024939283595998e-03,  9.4110286813574556e-02,  6.7714210380355105e-02,  1.4457516640567153e-01, -7.1436565935565216e-03
    13,  4.3927e+00,  8.6829412298011124e-02, -5.1592168642524097e-02,  1.4027986814998869e-01, -1.5023939283595998e-03,  9.4110286813574556e-02,  6.7714210380355105e-02,  1.4457516640567153e-01, -7.1436565935565216e-03
